,IES,Programa,Cod_Area,Titulo,Autor,Tipo,Defesa,Resumo,Keywords,link_trabalho
151,Fundação Getúlio Vargas ( Rj ),"História, Política E Bens Culturais ",31011012012P8,"O Partido Do Empresariado: O Instituto De Pesquisa E Estudos Sociais De São Paulo, A Construção De Consenso E O Anticomunismo (1961-1964)",Fernanda Teixeira Moreira,Tese,23/10/2019,"Esta tese apresenta uma pesquisa sobre a ação coletiva empresarial articulada no âmbito do Instituto de Pesquisa e Estudos Sociais de São Paulo. Ao longo da década de 1960, o IPÊS funcionou com um espaço fundamental de organização dos interesses da elite orgânica transnacional. O Instituto foi organizado pioneiramente no Rio de Janeiro e em São Paulo, regiões que dividiram a direção da entidade que se expandiu pelo país. O IPÊS aglutinou uma série de categorias sociais, a saber, militares, empresários, acadêmicos, religiosos, entre outros. No caso do IPÊS-SP, o empresariado ligado ao capital privado norte-americano foi o elemento preponderante na organização das ações e atividades que culminaram no golpe civil-militar de 1964. Nos anos 1960, diante do amadurecimento político do empresariado, o IPÊS-SP se constituiu como um partido articulador da ação política empresarial. Se, por um lado, as ações ipêsianas visavam a readequação do Estado e a implementação de um projeto consonante com interesses transnacionais, por outro lado, para legitimar tais demandas como hegemônicas no âmbito da sociedade civil e aptas para ocuparem a sociedade política, houve a necessidade um amplo e profundo trabalho voltado para o convencimento dos “pares” e da sociedade em geral. Para tal, o anticomunismo foi um aspecto fundamental. Dessa forma, a presente análise objetiva compreender a construção de um consenso anticomunista pedagógico e saneador, entre 1961-1964. Pedagógico ao estabelecer estratégias de doutrinação e de “manipulação da opinião pública”, saneador no que concerne à defesa do expurgo de um amplo espectro político que enquadravam como “esquerda”, seja através do fortalecimento de um ideário anticomunista ou do apoio direto às políticas e ações repressivas.","['Instituto', 'de', 'Pesquisa', 'e', 'Estudos', 'Sociais;São', 'Paulo;Consenso;Empresariado;Anticomunismo;golpe', 'de', '1964.']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7832456
152,Universidade Estadual Do Centro-Oeste,Letras ,40014010007P9,O Teatro De Xosé Lois García E A Tradição Literária Galega: Identidade E Compromisso Político-Social,Elza Hauresko,Dissertação,04/04/2019,"Esta pesquisa apresenta um estudo crítico do conjunto da obra dramatúrgica do escritor Xosé Lois García, formada por dez peças. Nove destas peças escritas em galego, A Proclama (1996), A Feira do Cinco (2009), O Reloxo de Merexildo (2009), Labyrinthus (2010), Mirafentos (2010), A Cerna (2013), O proceso a Lucia Fidalgo (2017), A Conversa de Manuel María e Xohán de Requeixo no Monte Faro, Entre as Neboas do Tempo (2016), Auto do demo e da Viñateira (2017) e a décima peça Desguiament De Guiats (2014) escrita no idioma catalão. García é um dos representantes da literatura e cultura moderna galega e se destaca com uma vasta produção de poesias, contos, antologias, ensaios jornalísticos, narrativas e teatro. Apesar dos importantes trabalhos de pesquisa acadêmica sobre sua obra, não há até o momento um estudo aprofundado que contemple o conjunto de sua produção dramatúrgica, o que confere relevância a presente pesquisa. Nesse sentido, o estudo tem como objetivo explicitar a forma como a dimensão política é traduzida nas peças apontando o tratamento estético dado às personagens e a linguagem utilizada, ou pela escolha dos temas, sendo uns mais realistas, representando o social e outros que abordam um tom mais místico, carregado de nacionalismo. Os resultados apontam que García apresenta um pensamento político apelando à liberdade e pelo conhecimento como ferramenta de libertação; criticando a doutrinação da igreja; representando um povo marcado pela ditadura e pela classe dominante; e posicionando-se a favor das causas sociais, com forte contestação à ordem dominante. A pesquisa foi realizada por meio de revisão bibliográfica e análise crítico-analítica das obras teatrais, sob o viés da pesquisa qualitativa, pautada em autores como Brecht (1978), Denis (2002), Torres (2015), Vilavedra (2002), Moura (2009) Candido (2000), Benjamim (2013) e Boal (2013).","['Xosé', 'Lois', 'García;literatura', 'galega;estética', 'e', 'ideologia;Literatura', 'política;discurso', 'social']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7775478
153,Universidade Do Estado Do Pará,Educação ,15006018001P0, Infância E Práticas Educativas Na Amazônia Seiscentista,Jane Elisa Otomar Buecke,Dissertação,29/03/2019,"Esta pesquisa, de natureza histórica, apoia-se nos pressupostos da História Cultural, que amplia o conceito de fontes e visibiliza sujeitos subalternizados. Tem por objetivo analisar as práticas educativas envolvendo as crianças que viveram na Amazônia do século XVII e as relações dessas práticas com os saberes existentes e/ou nelas gerados. Baseia-se em fontes documentais, tais como crônicas de religiosos que viveram na região naquele período como os capuchinhos Claude D’Abbeville eYves D’Évreux e o jesuíta João Felipe Bettendorff, além de cartas jesuítas, destacando-se as escritas pelo padre Antonio Vieira que viveu na Amazônia no século XVII. Nos documentos foram esmiuçados os relatos envolvendo a vivência dos padres com as crianças e sua visão sobre as relações das crianças índias em suas tribos, capturando-se situações identificadas como práticas educativas conforme o conceito de Cunha & Fonseca (2005). Outros referenciais teóricos que subsidiaram as análises produzidas se baseiam em Ariès (1986), Chartier (1990), Brandão (2007) e Albuquerque (2012, 2015). Foi possível perceber o sentimento de infância existente entre os nativos através da análise dos rituais de passagem e da delimitação das fases da vida da criança. Além disso, a valorização da educação das crianças como estratégia de doutrinação e perpetuação dos valores morais da Igreja Católica, demonstrou que entre os religiosos a infância tinha um tratamento peculiar. As fontes consultadas permitiram identificar a observação, a imitação, a repetição, o silêncio e a atenção como principais formas de aprendizagem entre as crianças da Amazônia seiscentista. Aprendizagem linguística, música, dança, conhecimento prático e lúdico foram alguns dos saberes que circulavam nas práticas educativas investigadas.","['Práticas', 'educativas;Educação', 'colonial;História', 'da', 'Infância.']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7641563
154,Pontifícia Universidade Católica Do Rio Grande Do Sul,Ciências Sociais ,42005019030P0,"Estado Laico, Religião E Educação:  Análise Da Controversa Presença Do Ensino Religioso Em Escolas Públicas No Brasil  ",Marcio Hoff,Tese,18/08/2017,"A tese apresenta como tema central o estudo da relação entre Estado, religião e educação no Brasil. Seu foco tem como objeto empírico de pesquisa as controvérsias públicas acerca da presença da disciplina de ensino religioso nos estabelecimentos oficias de ensino, privilegiando a análise em torno das disputas, dos debates públicos e das posições que assumem os diferentes atores em torno do conceito de laicidade do Estado brasileiro. Ao mesmo tempo em que as constituições republicanas afirmam o caráter laico do Estado, assegurando sua condição de separação com a igreja católica, estabelecem, simultaneamente, a possibilidade de cooperação entre ambos em prol do interesse público. Sob a égide da atual Constituição Federal em seu artigo 210 e, da Lei de Diretrizes e Bases da Educação Nacional de 1996 em seu artigo 33, modificado pela Lei nº 9457/1997, o ensino religioso, de matrcula facultativa para os alunos, é introduzido como disciplina obrigatória dos horários normais nas escolas públicas de ensino fundamental. Considerada como parte integrante da formação básica do cidadão, a disciplina visa a assegurar o respeito à diversidade religiosa brasileira e proíbe qualquer forma de proselitismo e doutrinação. O Estado subvenciona sua oferta e outorga aos sistemas estaduais e municipais de ensino a tarefa de escutar entidades civis constituídas por distintas denominações religiosas, a fim de definir conteúdos e estabelecer normas para habilitar e admitir professores, produzir material didático e organizar cursos de capacitação docente. Como não há consenso sobre legislação e modelo únicos de ensino religioso, alguns Estados oficializam a modalidade na forma confessional e admitem a contratação de professores na qualidade de representantes de confissões religiosas, atribuindo a elas a deliberação sobre os conteúdos. O Acordo jurídico celebrado entre o Estado brasileiro e a sede da igreja católica na cidade do Vaticano no ano de 2008, em seu artigo 11, afirma o caráter confessional do ensino religioso. A polêmica provoca diferentes posicionamentos e reações dos atores sociais envolvidos nesta questão, gerando uma série de disputas no campo acadêmico, político, jurídico, religioso e educacional. Os debates e as disputas ocorrem a respeito da (in)constitucionalidade do ensino religioso, da correta definição da laicidade estatal e de sua correta aplicabilidade. A própria dubiedade da laicidade estatal prevista na Constituição Federal concorre, de alguma forma, para escudar diferentes posições sobre o tema, na relação do Estado com a religião e sua presença no espaço público.  Palavras-chave: ensino religioso; laicidade estatal; religião; espaço público. ","['ensino', 'religioso;laicidade', 'estatal;religião;espaço', 'público.']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5973464
155,Universidade Federal De Uberlândia,Educação ,32006012003P1,A Disciplina História Da Educação Na Formação De Normalistas Do Colégio Nossa Senhora Do Patrocínio Em Minas Gerais (1947-1971),Geraldo Goncalves De Lima,Tese,14/03/2013,"A presente investigação tem como tema a trajetória histórica da disciplina História da Educação na formação de normalistas do Colégio Nossa Senhora do Patrocínio, situada em Patrocínio, Minas Gerais. O recorte temporal engloba o período entre 1947, quando a instituição passa a ofertar o Ensino Normal de 2.º ciclo e, simultaneamente, há a introdução da disciplina História da Educação no currículo, e 1971, quando da Reforma de 1.º e 2.º graus. Como objetivo geral pretende-se interpretar a trajetória histórica da disciplina História da Educação na formação de professores empreendida no Curso Normal do Colégio Nossa Senhora do Patrocínio, englobando uma abordagem da identidade, do espaço, do tempo, dos saberes e métodos pedagógicos, no período entre 1947 e 1971. Como método de investigação propõe-se a pesquisa bibliográfica, a pesquisa documental e o uso de depoimentos das normalistas como evidências empíricas (heurística) para a interpretação e argumentação textual (hermenêutica). Como fundamentação teórica, reconhece-se a relevância do pensamento de André Chervel (1990) como referência para as investigações relativas à História das Disciplinas Escolares. Além disso, optou-se por analisar as determinantes conforme as categorias estipuladas por Santos (2007): presença; identidade; normas e finalidades; perfil programático; perfil docente e perfil discente; materiais pedagógicos. Outros autores como Almeida Filho (2008), Araújo, Freitas e Lopes (2008), Azzi (1994), Bastos (2006), Bourdieu (2007) (2004), Carvalho e Gatti Júnior (2011), Gatti Júnior e Pintassilgo (2007), Gatti Júnior e Inácio Filho (2005), Guiraldelli Jr. (1994), Nagle (1974), Nóvoa (1994), Nunes (1996), Roballo (2007), Romanelli (1996), Saviani (2007), Segers et al (1995) e Tanuri (2000) também foram fundamentais para o desenvolvimento da presente tese. A presença e a trajetória histórica da disciplina História da Educação no Colégio Nossa Senhora do Patrocínio pode ser compreendida levando-se em consideração aspectos contextuais, institucionais, ideológicos e pedagógicos intrinsecamente relacionados à gênese, à função e ao funcionamento da disciplina no contexto curricular, abrangendo finalidades prescritas e finalidades reais. Como parte de um curso voltado para normalistas em uma instituição confessional católica, a disciplina assume basicamente duas funções voltadas à educação, como instrumento de doutrinação católica, e ao ensino, como inventário das ideais pedagógicas, dos principais eventos educacionais desenvolvidos ao longo da história. ","['História', 'das', 'disciplinas', 'escolares,', 'História', 'da', 'história', 'da', 'educação,', 'História', 'da', 'educação,', 'Ensino', 'normal,', 'Curso', 'normal,', 'Formação', 'de', 'professores,', 'Educação', '-', 'História,', 'Colégio', 'Nossa', 'Senhora', 'do', 'Patrocínio', '-', 'Patrocínio', '(MG)', '-', '1947-1971']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=377500
156,Universidade Federal Do Ceará,Letras ,22001018018P9,"Sertão De Pedra E Argila: Tradição, Ruptura E Modernidade No Romance Galileia, De Ronaldo Correia De Brito",Carlos Roberto Nogueira De Vasconcelos,Dissertação,29/08/2013,"O objetivo desta dissertação é demonstrar como Ronaldo Correia de Brito empreende, com o romance Galileia (2008), uma releitura do sertão, em sua representação tanto espacial quanto cultural. Na obra, o espaço sertanejo é mostrado como um território invadido pelas novas tecnologias, fato gerador de conflitos entre a tradição arraigada e a modernidade, permitindo que se analise, no escopo deste trabalho, o confronto entre tais forças e as transformações causadas pela globalização sobre o indivíduo, a família e a sociedade como um todo. Nesse contexto de embates entre o sertão tradicional e as novas tecnologias, o romance Galileia apresenta questões que se desdobram numa transgressão dos limites das tradições familiares: o declínio do patriarcado, a sutil revolução feminina, a homossexualidade, o incesto, o adultério. O romance também dialoga com a Bíblia, fonte permanente de doutrinação e sacralidade do ocidente, mas que também instiga rupturas, sugere profanações e deixa a descoberto a tradição centenária da família Rego Castro, representação na obra da tradição familiar sertaneja. A modernidade é apresentada como fator espontâneo, ou como consequência, retratada por meio da presença do computador e das lan-houses, da mudança de práticas estabelecidas e da substituição do barro e do cobre pelo plástico e o acrílico na manufatura dos utensílios domésticos. Para um melhor equacionamento dessas discussões, revelou-se imprescindível a revisão crítica de alguns construtos teóricos, tais como o da identidade e o da memória, os quais se configuram como importantes elementos conteudísticos e estruturais do romance. No caso do problema identitário, observa-se que este encampa na obra a discussão da questão étnica, manifestada inclusive pela presença indígena e judia como elementos de miscigenação no sertão nordestino. Em relação ao estudo da memória, foi de grande importância para as análises deste trabalho o conceito de “memória identitária”, expressão desenvolvida por Janine Ponty e discutida por Joel Candau no livro Memória e identidade (2012). A partir da discussão da identidade, da memória e de outros conceitos, incluindo o de regionalismo literário, foi possível perceber que Ronaldo de Brito, em Galileia, problematiza, e até denuncia (mas sem levantar bandeira), as situações inevitáveis causadas pela modernidade, o capitalismo que compra a honra, o desarticular da família tal como se conhece, a infância violada na rua ou no esconderijo do lar, a fome causada não apenas pela seca, mas também pela má distribuição de renda. Interpretar esse antagonismo de forças é o que justifica a realização desta pesquisa.","['Identidade.', 'Memória.', 'Modernidade.', 'Sertão.', 'Ronaldo', 'Correia', 'de', 'Brito.']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2629421
157,Universidade Comunitária Da Região De Chapecó,Educação ,41016017004P5,Programa Escola Sem Partido: Função Social Da Escola Pública E A Liberdade Acadêmica,Rodolfo Ferreira Pinheiro,Dissertação,29/04/2020,"Nos últimos anos, aflorou a discussão em âmbito nacional quanto às possibilidades e os limites da liberdade de ensinar nas escolas do Brasil. O debate foi intensificado com a apresentação do Projeto de Lei n.º 867/2015, que propõe a inclusão, entre as diretrizes e bases da educação nacional, do Programa Escola sem Partido, e do Projeto de Lei n.º 9.957/2018, que intenta coibir a “doutrinação” nas escolas. A presente pesquisa objetiva identificar e analisar as (in)controvérsias do Programa Escola Sem Partido relativos à função social da escola pública e à liberdade acadêmica. Para alcançá-lo, foram definidos os seguintes objetivos específicos: 1) compreender a função social da escola pública e o princípio da liberdade de ensinar à luz da Constituição Federal de 1988; 2) caracterizar o ESP, sua origem histórica e conceituação; e 3) analisar os aspectos (in)controversos do ESP à luz da função social da escola pública e liberdade de ensinar. O problema da pesquisa é: quais são os aspectos (in)controversos do ESP relativos à função social da escola pública e à liberdade acadêmica? Para responder esta pergunta, analisa os projetos de lei que buscam instituir o Programa Escola sem Partido à nível nacional, os pareceres da Câmara de Deputados em que a referida proposta tramita, as diretrizes e normais de educacionais, os direitos à liberdade de ensino e de aprendizagem constantes como direitos fundamentais na Constituição Federal. Metodologicamente, o trabalho é de abordagem qualitativa, do tipo documental e bibliográfico. Os resultados obtidos pela pesquisa apontam três principais pontos controvertidos do Programa Escola sem Partido: o primeiro diz respeito à função social da escola pública como integrante da administração pública, razão pela qual é necessário a prevalência do interesse público sobre o privado. O segundo se refere à liberdade acadêmica, cujo conceito engloba a liberdade de aprender e ensinar, que não possuem conflito em sala de aula, na medida em que a liberdade do professor já encontra limites legalmente previstos e, portanto, é desnecessária nova regulamentação. O último ponto se refere a forma como o Programa Escola sem Partido busca impor suas convicções, constrangendo os profissionais por meio da colocação de cartazes nas paredes das escolas e gravações de aulas, obrigando os professores a permitirem o uso da sua imagem, o que afronta o direito de personalidade constitucionalmente previsto.","['Escola', 'Sem', 'Partido.', 'Escola', 'Pública.', 'Liberdade', 'Acadêmica.']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9743420
158,Universidade Federal Da Bahia,Artes Visuais ,28001010030P9,Iconografia Carmelitana: Análise Dos Painéis Azulejares Da Capela-Mor Da Ordem Terceira Do Carmo De Cachoeira,Darlane Silva Senhorinho,Dissertação,11/06/2014,"Este trabalho busca analisar os painéis azulejares inseridos na capela-mor da Ordem Terceira do Carmo de Cachoeira, situada na região do Recôncavo baiano. A igreja da Ordem terceira possui quatorze painéis azulejares, dos quais quatro estão inseridos na capela-mor. Dois destes – os quais foram analisados – trazem representações do patrono da Ordem, Santo Elias (Trasladação de Elias), e de Maria, a quem a Ordem é dedicada (Virgem da Misericórdia), os demais possuem peças truncadas que impossibilitam a identificação de sua temática. A metodologia para análise iconográfica das imagens foi o método desenvolvido por Erwin Panofsky, que define a iconografia como o ramo da história que estuda o tema ou a mensagem de uma ou mais obras de arte, contrapondo com a sua forma. Este autor divide a análise em três níveis de interpretação: conteúdo natural ou primário, conteúdo secundário ou convencional e significado intrínseco ou conteúdo. Buscamos fazer uma analise iconográfica dos painéis no sentido mais estrito da palavra, “constituindo um mundo das imagens, histórias e alegorias”. Num primeiro momento, fazemos uma descrição sobre a evolução dos azulejos desde seus primórdios até a grande produção europeia, sobretudo, em Portugal, com o desenvolvimento de novas técnicas e a produção nas grandes oficinas que exportavam para diversas regiões do globo, como o Brasil, que era um dos seus principais consumidores. Como parte da discussão, estabelecemos uma correlação entre a arte e a sua utilização como instrumento de edificação em todo o Império Português, largamente empregada como aparelho de doutrinação dos fiéis e evangelização dos pagãos. Num segundo momento, discutimos o desenvolvimento da Ordem Carmelita, desde seus primórdios, com os eremitas no Monte Carmelo, sua expansão, incluindo sua chegada em Portugal e na colônia brasileira, até a implantação do convento da Ordem Primeira do Carmo, na Vila de Nossa Senhora do Porto da Cachoeira, e a implantação da irmandade da Ordem Terceira, para os fieis leigos de Nossa Senhora do Carmo. No terceiro momento, relacionamos o Concílio de Trento com as mudanças que este provocou na arte, trazendo uma iconografia religiosa mais “padronizada”. Na ocasião, empreendemos uma descrição do conjunto arquitetônico da Ordem Carmelita na cidade de Cachoeira, bem como do seu repertório iconográfico e artístico que traz parte da história da Ordem e também de seus Santos Reformadores. No quarto momento, discutimos Sobre o método panofskyano e a sua aplicabilidade para interpretação de uma obra de arte e, por conseguinte, fazemos uma breve descrição iconográfica dos painéis azulejares da nave, para, então, adentrarmos nas análises iconográficas dos painéis da capela-mor. Diante disso, afirma-se que este estudo contribui com a produção historiográfica da azulejaria lusoamericana, com a abordagem da composição iconográfica e da função retorica das imagens. Contribui também para o aprofundamento dos conhecimentos da sociedade colonial brasileira, assim como da História da Arte.","['Azulejaria', 'colonial.', 'Ordem', 'Terceira', 'do', 'Carmo.', 'Iconografia']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2146297
159,Universidade Católica De Pernambuco,Ciências Da Linguagem ,25002015003P6,A Propaganda Publicitária E Sua Significação No Simbólico Coletivo: Análise Discursiva De Propagandas Publicitárias Do Governo Dilma,Evilasio Dos Santos Silva,Dissertação,22/03/2013,"A publicidade é vista atualmente como um sistema de doutrinação. Ela pode ser capaz de interpelar os indivíduos, produzindo sentidos que se revestem de realidade enquadrando a população dentro de um determinado sistema de ideias e valores. Portanto, o texto das propagandas, ou sobre elas, não pode ser analisado como dado sem recurso à memória linguística. Ela precisa ser compreendida como tendo muito mais do que a função de informar, difundir, lembrar e relembrar ao consumidor de que o produto existe e trará indubitavelmente benefícios àquele que o adquirir. É necessário pensar a publicidade considerando a relação entre persuasão e discurso fundador, ou persuasão e identidade, para além das temáticas da história tradicional da publicidade. Este trabalho se propõe a analisar algumas das diferentes propagandas publicitárias utilizadas pelo Governo Dilma. A pesquisa se fundamenta prioritariamente na Análise de Discurso de linha francesa e se propõe a compreender a língua na sua dinamicidade, fazendo sentido no simbólico, que é, sem sombra de dúvidas, parte constitutiva da vida do homem enquanto maneira de significar. Ao analisar as formações discursivas e ideológicas de propagandas publicitárias do Governo Dilma, focalizam - se as seguintes questões: como essas propagandas produzem efeitos de sentido? Quais as possibilidades de enquadramento ou disciplinamento dos sujeitos na formação discursiva/ideológica dominante, que se dá pelo mecanismo de antecipação, quando o sujeito-autor projeta-se imaginariamente no lugar em que o outro o espera? Foram selecionadas 03 propagandas publicitárias televisivas que possibilitam analisar como se constituem os efeitos de sentidos no discurso. Elas fazem parte de uma sequência de 03 propagandas denominadas de: Brasil em boas mãos. São elas: Brasil em boas mãos - educação; Brasil em boas mãos - economia e Brasil em boas mãos - grandes projetos. As propagandas foram capturadas no sítio do Youtube. A análise do corpus foi efetuada mediante a constituição de segmentos discursivos quadro a quadro do material publicitário coletado, levando-se em conta as formações discursivas e ideológicas, condições de produção, interdiscursividade e acontecimento, que são conceitos filiados à AD. Nas análises realizadas foi possível perceber como, pelo mecanismo da antecipação, o sujeito produtor do discurso publicitário mobiliza sentidos trazendo à tona elementos relacionados ao poder que estão cristalizados na memória discursiva do sujeito telespectador. Esses sentidos diversos levam a compreender que a propaganda não é a-histórica nem a-social e pelos afastamentos e dispersões é possível atestar o seu caráter vivo da história. As peças publicitárias trabalham com a re-significação do sujeito sobre o que já foi dito, instaurando um novo processo discursivo que, quando relacionado com o novo dizer, inscreve o sujeito na posição que convém à classe dominante. Desta feita, foi possível compreender que a propaganda publicitária se constitui em um importante instrumento para compreender o discurso que circula na e pela linguagem. ","['análise', 'do', 'discurso,', 'propaganda,', 'publicidade']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=109629
160,Fundação Universidade De Passo Fundo,História ,42009014003P9,Contra Todos: A Crítica Positivista Ortodoxa À Guerra Contra O Paraguai (1889-1930),Fabiano Barcellos Teixeira,Tese,14/12/2018,"Durante a Primeira República (1889-1930), seguidores da doutrina positivista formaram um atuante grupo na política brasileira. Desde os anos 1840, ideias do positivismo desenvolvidas pelo francês Augusto Comte – a partir dos anos 1820 – chegavam ao Brasil, ficando mais restrita aos círculos educacionais, como a escola militar e a de engenharia, do Rio de Janeiro. Em 1881, liderados por Miguel Lemos e Raimundo Teixeira Mendes, fundouse a Igreja ou Apostolado Positivista do Brasil, no Rio de Janeiro, local de doutrinação e de conversas que resultavam em ações dos discípulos ortodoxos de Comte, na então capital. Os positivistas ortodoxos eram os seguidores da etapa religiosa da doutrina de Comte, que a desenvolveu nos anos 1850. Pretendendo educar e intervir na sociedade civil principalmente através do exemplo, os ortodoxos deixaram um legado. Após o golpe republicano, em 1889, os positivistas consideravam atrasada a sociedade brasileira se comparada à Europa ocidental, industrial e capitalista. Portanto, para a Europa, o positivismo já nascera conservador em uma ordem capitalista e burguesa, e no Brasil tinha caráter progressista, pois a sociedade nacional, então pré-capitalista, fora estruturada em séculos de escravidão e precisaria ser “modernizada”. Influentes nos primeiros meses de governo republicano, os positivistas foram perdendo espaço no governo. No entanto, variados assuntos de reconhecido interesse público, como a separação entre Estado e Igreja, a secularização de cemitérios, o combate a repressão de movimentos grevistas, etc, eram debatidos e defendidos pelos positivistas. Os ortodoxos defenderam políticas como a integração entre povos latinos, com destaque aos povos do Cone Sul. Através de comissões no governo e de publicações sistemáticas, entre as quais se destacavam as circulares – livretos que se detalhava a doutrina e as ações do movimento – os ortodoxos articularam pioneira campanha pela devolução de troféus e pelo cancelamento da dívida de Guerra do Paraguai, em nome do altruísmo entre as nações irmãs e pela reparação dos erros cometidos pelo governo imperial na guerra contra a república do Paraguai. Campanha que também ganhou mais adesões no Brasil e no exterior. Os positivistas ortodoxos atuavam na defesa da plena integração das repúblicas do Prata contra um nacionalismo ufanista marcante principalmente no Brasil que seguia acirrando ódios entre as nações anos após o conflito. Entretanto, suas medidas sofreram resistências por setores sobretudo ligados ao Estado e a parte do exército brasileiro, que os acusavam de antipatriotas. Nas primeiras décadas após a chamada Guerra do Paraguai (1864-1870), conflito que opôs a Argentina liberal mitrista, o império do Brasil e o Uruguai florista contra o Paraguai, desenvolveu-se uma dominante historiografia nacional-ufanista no Brasil sobre as razões do Império, as batalhas vencidas e a atuação dos comandantes imperiais no conflito, uma série de análises que ainda tem forte influência até mesmo na academia. Os positivistas ortodoxos protagonizaram pioneira crítica sistemática ao governo imperial brasileiro e campanha pela devolução de trofeús e pelo perdão da dívida de Guerra do Paraguai cujos nuances são pouco conhecidos e divulgados pela historiografia, praticamente, ainda contra todos. ","['Guerra', 'do', 'Paraguai;Império', 'do', 'Brasil;Paraguai;Positivismo;Região', 'do', 'Prata']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7638805
161,Universidade De São Paulo,Estudos Culturais ,33002010217P9,Deus Ajuda Quem Cedo Madruga? História Do Valor Do Trabalho Como Discurso: Uma Desconstrução Biológica,Carlos Alberto De Cicco Ferreira Filho,Dissertação,07/07/2016,"A constituição de estudo acerca da ritmicidade biológica do indivíduo, e sua expressão social no mundo contemporâneo foi objetivo desta dissertação, ela integra as Ciências Humanas com as Ciências Biológicas. Estuda-se a construção cultural da virtude relacionada ao trabalho intenso e extenuante, faz-se isso analisando inicialmente o processo histórico na transição do feudalismo para o capitalismo mercantil até o capitalismo contemporâneo. No decorrer desta construção histórica, observa-se a inversão de valores voltados ao trabalho, que de castigo torna-se virtude. Essa transformação está associada a conflitos e revoluções de ordem religiosa e econômica. A relação trabalho-tempo se transforma de um modo de produção tradicional, no feudalismo, no qual o tempo do trabalho é o tempo da terra, é o tempo do plantar e do colher, é o tempo da natureza para uma relação trabalho-tempo ditada por salários, pelo sincronismo das máquinas, pela doutrinação religiosa, pelo controle dos horários e pela coação da lei. Essa relação trabalho-tempo que emerge no capitalismo mercantil reverbera nos dias atuais através do fenômeno ideológico moldado nos últimos quatro séculos por meio de mecanismos semelhantes, econômicos, religiosos e legais. De forma que contemporaneamente, de forma geral, se entende que quanto mais tempo se dedica ao trabalho, quanto mais cedo se acorda para trabalhar mais virtuoso é o indivíduo. Por lado quanto mais tarde se acorda para trabalhar e quanto mais se invade a noite para o lazer mais vagabundo. No entanto de uma área da Biologia surgida nos meados do século XX; a Cronobiologia, emerge o conhecimento sobre o tempo biológico que surge então como elemento adicional para se pensar o tempo e o trabalho. O tempo na cronobiologia é a integração entre o tempo dos organismos e o tempo da natureza, do dia e da noite, é o dia interior ajustado ao dia exterior. É, portanto individual, é genético e ontogênico. Os horários sociais nos quais se exerce as rotinas de trabalho nem sempre estão em harmonia com o tempo biológico o que leva parte da população a uma espécie de desarranjo temporal ou a pratica de horários não triviais como acordar nas primeiras horas da tarde, por exemplo. Imposições temporais como o horário de verão, horário de aula para alunos, turnos de trabalhos invertidos, não levam em consideração resultados de estudos de grande parte da literatura na área de cronobiologia, e resultam em consequências para a saúde da população. Assim concluímos que estigmatizar quem pratica horários incomuns ou estabelecer uma rigidez de horários nos quais se deve exercer atividades como trabalho ou dormir são construções ideológicas historicamente determinadas, as quais o saber cronobiológico descontrói, pois a compreensão do tempo biológico resulta em entender sua adaptabilidade no contexto dos horários sociais. Além disso, entende se que são necessárias Políticas Públicas relacionadas a intervenções nos horários de trabalho e educação do quotidiano que levem em consideração estes novos conhecimentos surgidos no final do século XX que terão papel preventivo em doenças contemporâneas como câncer e doenças psiquiátricas","['Cronobiologia;Horários', 'sociais;Ideologia', 'do', 'trabalho;Temporização', 'endógena']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3995338
